Process Description,Catalog,Schema,Table Name,Column Name,Rule Description,Comments,Classification Name,Category,Datasource Description
x,x,committee.base.attitude.shoot,brief.season.camp.earth,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,pool.reaction.stand.agency,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,development.report.storm.diet,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,shock.search.male.risk,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,resolve.reveal.run.airport,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,cook.active.film.shoulder,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,egg.signal.rain.tomorrow,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,poem.closet.pop.lake,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,policy.theme.schedule.charity,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
